Sale_ID,Date,Customer_ID,Bike_Model,Category,Price,Quantity,Discount,Store_Location,Salesperson_ID,Payment_Method,Channel,Customer_Age,Customer_Gender
25,4/7/2024,7030,BMX,Off Road,1099.15,4,yes,San Antonio,924,Debit Card,Store,54,Male
26,2/7/2022,1209,Mountain Bike,Off Road,591.21,2,yes,Phoenix,878,PayPal,Online,30,Male
27,9/21/2021,8072,Mountain Bike,Off Road,1958.22,3,yes,Philadelphia,933,Credit Card,Online,25,Female
28,11/25/2022,9164,Hybrid Bike,Hybrid,4181.42,4,yes,Phoenix,346,Google Pay,Online,36,Female
29,7/17/2023,5981,Hybrid Bike,Hybrid,3186.93,2,no,Philadelphia,209,Google Pay,Online,29,Female
30,11/27/2022,7201,BMX,Off Road,4897.8,1,no,Philadelphia,117,Apple Pay,Online,28,Male
31,4/24/2024,5301,Folding Bike,Road,4141.54,1,yes,New York,404,Apple Pay,Online,43,Female
32,6/16/2023,7037,Cruiser,Off Road,2970.31,5,no,Philadelphia,897,Apple Pay,Online,59,Male
33,1/6/2020,5757,Hybrid Bike,Hybrid,1064.37,2,no,Phoenix,117,Cash,Store,47,Male
34,9/5/2020,1215,Cruiser,Off Road,270.78,5,yes,New York,938,PayPal,Online,46,Female
35,1/27/2023,3148,BMX,Off Road,4885.14,3,yes,New York,782,PayPal,Online,18,Female
36,10/23/2021,5053,Cruiser,Off Road,2276.31,2,no ,Los Angeles,160,Google Pay,Online,23,Male
37,5/26/2021,2849,Hybrid Bike,Hybrid,4234.49,2,yes,Phoenix,747,Cash,Store,41,Female
38,2/14/2022,8004,BMX,Off Road,4448.18,2,yes,Phoenix,680,Debit Card,Store,44,Male
39,6/14/2020,5802,Folding Bike,Road,4188.82,1,yes,Los Angeles,926,Credit Card,Online,46,Male
40,3/28/2021,1602,Folding Bike,Road,2611.56,2,no,New York,655,Apple Pay,Online,21,Male
41,12/21/2020,2693,Mountain Bike,Off Road,3454.15,1,yes,Philadelphia,708,PayPal,Online,37,Female
42,11/24/2022,2554,BMX,Off Road,4617.56,4,yes,Phoenix,766,Debit Card,Store,36,Male
43,9/1/2024,4677,Mountain Bike,Off Road,1812.26,2,yes,Houston,393,Cash,Store,40,Male
44,9/17/2021,6716,Mountain Bike,Off Road,1959.85,3,yes,Chicago,175,PayPal,Online,38,Female
45,8/3/2021,6791,Mountain Bike,Off Road,4161.05,4,no,San Antonio,883,PayPal,Online,28,Male
46,9/22/2021,7356,Mountain Bike,Off Road,1261.89,5,no,Los Angeles,506,Credit Card,Online,37,Female
47,1/23/2024,9785,BMX,Off Road,2189.68,3,yes,Los Angeles,389,PayPal,Online,28,Female
48,6/14/2022,1097,Hybrid Bike,Hybrid,1614.07,2,no,San Antonio,725,Cash,Store,43,Male
49,8/17/2022,6046,Folding Bike,Road,724.25,4,no,Los Angeles,766,Apple Pay,Online,54,Female
50,4/17/2022,7319,Electric Bike,Electric,2703.48,2,yes,San Antonio,826,Google Pay,Online,53,Female
51,3/6/2024,1983,Hybrid Bike,Hybrid,3362.4,1,yes,Los Angeles,315,Debit Card,Store,22,Female
52,11/14/2022,9552,Road Bike,Road,2296.64,3,no ,New York,825,Cash,Store,29,Female
53,8/12/2021,8543,Road Bike,Road,3716.82,3,yes,Houston,336,Debit Card,Store,57,Male
54,7/7/2023,8173,Cruiser,Off Road,4491.92,2,yes,Los Angeles,324,PayPal,Online,31,Male
55,10/5/2022,3104,Folding Bike,Road,2229.03,3,yes,San Antonio,291,Cash,Store,42,Male
56,7/26/2020,9651,Folding Bike,Road,3687.35,2,no,Chicago,621,Apple Pay,Online,33,Male
57,4/2/2022,9123,Electric Bike,Electric,2845.33,5,yes,Los Angeles,534,Google Pay,Online,32,Male
58,4/7/2023,7956,Cruiser,Off Road,4650.37,4,yes,Philadelphia,632,Cash,Store,47,Female
59,1/24/2021,1672,Electric Bike,Electric,4521.32,1,yes,New York,252,Debit Card,Store,44,Male
60,4/17/2023,2050,Cruiser,Off Road,599.68,1,yes,Los Angeles,503,PayPal,Online,49,Female
61,9/25/2023,5338,Cruiser,Off Road,4882.87,3,no,Houston,521,Debit Card,Store,60,Male
62,10/26/2020,4277,Mountain Bike,Off Road,3481.35,4,no,New York,679,PayPal,Online,65,Male
63,10/6/2021,7707,Road Bike,Road,447.62,5,yes,Houston,104,Apple Pay,Online,34,Female
64,3/27/2020,3917,Mountain Bike,Off Road,2607.09,1,no,Houston,432,Apple Pay,Online,50,Male
65,8/11/2023,8891,Hybrid Bike,Hybrid,3167.84,2,no,San Antonio,552,PayPal,Online,62,Male
66,9/15/2024,5817,BMX,Off Road,3690.47,4,yes,Philadelphia,515,PayPal,Online,66,Male
67,5/11/2020,2805,Road Bike,Road,1121.19,4,yes,New York,406,Debit Card,Store,40,Female
68,4/13/2020,8183,Mountain Bike,Off Road,487.62,4,no ,Philadelphia,478,Google Pay,Online,19,Male
69,7/9/2020,7033,Hybrid Bike,Hybrid,3761.62,5,yes,Houston,288,Apple Pay,Online,59,Female
70,1/23/2023,5757,Electric Bike,Electric,2921.16,5,yes,Phoenix,473,Debit Card,Store,65,Male
71,5/1/2023,1503,Road Bike,Road,3360.87,5,yes,Philadelphia,557,Cash,Store,33,Female
72,5/31/2023,5707,Hybrid Bike,Hybrid,3340.64,4,no,Philadelphia,917,Debit Card,Store,24,Male
73,1/1/2020,3495,Road Bike,Road,3617.52,1,yes,Philadelphia,485,Cash,Store,53,Male
74,2/7/2023,2401,Cruiser,Off Road,888.34,1,yes,Philadelphia,304,Credit Card,Online,32,Male
75,9/20/2021,3519,Folding Bike,Road,1334.89,3,yes,New York,906,Cash,Store,19,Male
76,7/2/2024,6407,Mountain Bike,Off Road,3122.5,5,yes,Chicago,336,Apple Pay,Online,61,Male
77,6/8/2022,9534,Road Bike,Road,1686.31,4,no,Houston,528,Debit Card,Store,38,Male
78,1/23/2023,8374,Hybrid Bike,Hybrid,2531,1,no,San Antonio,346,Credit Card,Online,34,Female
79,8/4/2021,6132,Cruiser,Off Road,3382.52,1,yes,San Antonio,787,Credit Card,Online,22,Female
80,9/21/2021,5736,Road Bike,Road,2671.27,2,no,Philadelphia,248,Cash,Store,65,Female
81,6/12/2020,9972,BMX,Off Road,3337.3,5,no,Philadelphia,404,Debit Card,Store,46,Female
82,5/18/2023,3022,Electric Bike,Electric,1770.57,4,yes,Chicago,518,Debit Card,Store,64,Male
83,8/18/2023,2444,Electric Bike,Electric,2986.96,5,yes,Philadelphia,612,PayPal,Online,63,Male
84,6/29/2024,8722,Cruiser,Off Road,2834.1,2,no ,Chicago,782,Credit Card,Online,26,Male
85,8/2/2024,3617,Folding Bike,Road,3623.45,2,yes,San Antonio,449,Credit Card,Online,28,Male
86,10/6/2021,4118,Cruiser,Off Road,2010.95,4,yes,Phoenix,779,Credit Card,Online,70,Male
87,2/8/2020,8849,Folding Bike,Road,608.93,3,yes,Phoenix,452,Credit Card,Online,23,Male
88,7/27/2021,4281,Road Bike,Road,727.49,1,no,Philadelphia,849,Apple Pay,Online,62,Female
89,8/14/2024,9422,Folding Bike,Road,638.16,2,yes,Philadelphia,480,PayPal,Online,58,Male
90,2/5/2020,4849,BMX,Off Road,1557.08,4,yes,Chicago,995,Credit Card,Online,54,Female
91,9/6/2022,8937,Road Bike,Road,2775.14,3,yes,Chicago,401,Apple Pay,Online,56,Male
92,7/6/2024,9035,Electric Bike,Electric,2234.4,2,yes,New York,977,PayPal,Online,59,Female
93,12/10/2021,3144,Electric Bike,Electric,1803.99,2,no,San Antonio,405,Apple Pay,Online,23,Female
94,11/19/2022,6698,Cruiser,Off Road,1924.91,4,no,Philadelphia,453,Google Pay,Online,25,Female
95,2/4/2023,9046,Folding Bike,Road,661.28,5,yes,Philadelphia,213,Debit Card,Store,70,Female
96,5/8/2020,5487,Hybrid Bike,Hybrid,4504.65,1,no,Philadelphia,629,Cash,Store,70,Male
97,2/21/2020,2644,Electric Bike,Electric,1548.33,3,no,Phoenix,961,Apple Pay,Online,70,Female
98,11/13/2023,9984,Mountain Bike,Off Road,227.98,2,yes,Chicago,536,Credit Card,Online,70,Female
99,2/6/2024,5912,BMX,Off Road,3580.44,1,yes,Phoenix,299,Credit Card,Online,36,Female
100,9/13/2020,5259,Hybrid Bike,Hybrid,1672.77,3,no ,Chicago,947,Google Pay,Online,27,Female
101,3/26/2021,6324,Road Bike,Road,3982.89,1,yes,Phoenix,462,PayPal,Online,44,Female
102,10/14/2021,6359,Hybrid Bike,Hybrid,4497.57,2,yes,Houston,572,Cash,Store,19,Female
103,8/30/2023,4450,Hybrid Bike,Hybrid,1767.21,4,yes,New York,982,Apple Pay,Online,21,Female
104,10/26/2022,8115,BMX,Off Road,2244.59,4,no,Phoenix,525,Credit Card,Online,53,Female
105,11/27/2020,8520,Folding Bike,Road,242.79,4,yes,Houston,885,Google Pay,Online,58,Male
106,4/29/2022,3743,BMX,Off Road,4826.21,4,yes,New York,272,PayPal,Online,32,Male
107,7/5/2022,1757,Cruiser,Off Road,3619.29,5,yes,Chicago,838,Apple Pay,Online,47,Female
108,7/16/2022,8531,Cruiser,Off Road,4710.42,1,yes,New York,847,PayPal,Online,47,Female
109,10/31/2020,9445,Mountain Bike,Off Road,3579.78,3,no,New York,423,Apple Pay,Online,49,Female
110,10/11/2020,9024,Folding Bike,Road,2469.39,3,no,Philadelphia,499,Debit Card,Store,62,Male
111,6/29/2022,1707,BMX,Off Road,3128.86,2,yes,Los Angeles,944,Google Pay,Online,52,Female
112,11/6/2021,2473,Cruiser,Off Road,4610.91,3,no,Philadelphia,647,Apple Pay,Online,33,Male
113,4/10/2020,3843,Folding Bike,Road,1422.01,3,no,Houston,733,Credit Card,Online,56,Female
114,10/4/2022,9383,Mountain Bike,Off Road,4116.38,4,yes,Phoenix,761,PayPal,Online,65,Male
115,10/28/2021,9700,Road Bike,Road,2690.59,4,yes,New York,145,Debit Card,Store,26,Female
116,4/20/2023,6925,Electric Bike,Electric,3231.44,4,no ,San Antonio,709,Cash,Store,43,Male
117,6/1/2023,8153,BMX,Off Road,3284.69,1,yes,New York,618,Cash,Store,61,Female
118,8/11/2021,2662,BMX,Off Road,3270.99,2,yes,San Antonio,375,Credit Card,Online,53,Female
119,6/25/2021,4113,Hybrid Bike,Hybrid,1586.87,4,yes,Houston,379,Cash,Store,70,Male
120,6/16/2022,4152,Hybrid Bike,Hybrid,1957.72,2,no,Phoenix,360,PayPal,Online,54,Female
121,10/25/2021,1804,BMX,Off Road,2829.23,2,yes,Phoenix,933,Credit Card,Online,64,Male
122,5/26/2021,7698,Folding Bike,Road,2259.03,4,yes,Los Angeles,271,PayPal,Online,24,Female
123,10/5/2023,2586,Electric Bike,Electric,326.14,1,yes,San Antonio,763,Debit Card,Store,60,Female
124,1/3/2023,5680,Road Bike,Road,1346.33,4,yes,San Antonio,878,Apple Pay,Online,47,Female
125,3/14/2022,3874,Cruiser,Off Road,3254.49,5,no,Phoenix,745,Apple Pay,Online,30,Male
126,6/19/2023,1817,Hybrid Bike,Hybrid,2380.58,4,no,Houston,909,Credit Card,Online,54,Male
127,6/13/2024,3464,Electric Bike,Electric,2274.67,2,yes,San Antonio,598,PayPal,Online,21,Male
128,9/21/2021,2717,Hybrid Bike,Hybrid,2257.32,2,no,San Antonio,117,Cash,Store,25,Male
129,5/19/2020,6019,Road Bike,Road,783.31,3,no,Chicago,654,Credit Card,Online,34,Female
130,1/8/2020,2200,Mountain Bike,Off Road,874.62,5,yes,New York,196,Debit Card,Store,18,Female
131,5/1/2023,1215,BMX,Off Road,2659.28,2,yes,Los Angeles,712,PayPal,Online,61,Male
132,11/21/2021,6688,Hybrid Bike,Hybrid,533.51,1,no ,Houston,282,Apple Pay,Online,24,Female
133,12/24/2020,8491,Hybrid Bike,Hybrid,4867.16,4,yes,New York,494,Credit Card,Online,21,Male
134,4/29/2022,3629,BMX,Off Road,1321.74,1,yes,Phoenix,955,Apple Pay,Online,30,Male
135,7/25/2024,2660,Road Bike,Road,4002.62,2,yes,Philadelphia,631,Cash,Store,21,Female
136,4/12/2023,3491,Road Bike,Road,2646.05,3,no,Phoenix,429,PayPal,Online,41,Male
137,2/7/2023,2914,Hybrid Bike,Hybrid,1209.19,3,yes,Houston,700,Credit Card,Online,45,Male
138,2/4/2022,6212,Cruiser,Off Road,1354.08,2,yes,Phoenix,861,Credit Card,Online,35,Female
139,10/30/2023,4463,Folding Bike,Road,1652.44,2,yes,San Antonio,419,Debit Card,Store,56,Female
140,10/24/2023,3044,Hybrid Bike,Hybrid,1241.87,1,yes,Houston,412,Cash,Store,60,Male
141,6/30/2024,2357,Cruiser,Off Road,1151.75,5,no,Philadelphia,845,PayPal,Online,66,Female
142,7/12/2020,3456,Folding Bike,Road,2801.12,4,no,Chicago,136,Debit Card,Store,29,Female
143,11/18/2021,5825,Electric Bike,Electric,2352.45,1,yes,Philadelphia,273,Credit Card,Online,28,Male
144,9/10/2022,1418,Road Bike,Road,3652.29,4,no,Los Angeles,120,Google Pay,Online,43,Female
145,4/28/2024,1863,Cruiser,Off Road,1909.79,2,no,Chicago,741,PayPal,Online,33,Male
146,3/3/2020,2135,Cruiser,Off Road,1399.37,2,yes,Chicago,131,Google Pay,Online,70,Female
147,3/9/2023,9753,BMX,Off Road,2115.28,1,yes,Los Angeles,756,Cash,Store,25,Male
148,11/28/2023,9559,Electric Bike,Electric,3577.98,1,no ,Philadelphia,577,Apple Pay,Online,60,Male
149,1/28/2023,1745,BMX,Off Road,918.64,3,yes,Philadelphia,965,Credit Card,Online,54,Male
150,6/25/2021,8826,Hybrid Bike,Hybrid,3458.87,4,yes,Chicago,807,Debit Card,Store,46,Male
151,11/6/2021,3183,Electric Bike,Electric,2624.71,4,yes,Philadelphia,692,Debit Card,Store,37,Female
152,8/9/2020,1704,BMX,Off Road,853.88,5,no,Houston,864,Apple Pay,Online,33,Male
153,10/10/2020,1063,Electric Bike,Electric,2776.79,3,yes,Chicago,496,Google Pay,Online,43,Female
154,9/13/2023,3315,Cruiser,Off Road,4843.8,1,yes,New York,977,Google Pay,Online,34,Male
155,7/10/2021,5618,Folding Bike,Road,4594.12,4,yes,Los Angeles,864,PayPal,Online,38,Male
156,3/3/2023,7284,Electric Bike,Electric,1661.19,4,yes,Philadelphia,729,Debit Card,Store,24,Male
157,9/17/2020,8642,Mountain Bike,Off Road,4041.34,5,no,New York,898,Debit Card,Store,53,Male
158,5/27/2021,4066,Mountain Bike,Off Road,747.63,1,no,Phoenix,383,Debit Card,Store,43,Female
159,8/20/2022,6874,Folding Bike,Road,3392.71,1,yes,San Antonio,797,Cash,Store,59,Female
160,3/22/2021,4491,Electric Bike,Electric,2963.39,2,no,Los Angeles,513,Apple Pay,Online,21,Female
161,8/18/2021,2283,Road Bike,Road,4290.82,5,no,Phoenix,843,Google Pay,Online,56,Female
162,7/16/2023,5258,Cruiser,Off Road,579.97,1,yes,Chicago,930,Cash,Store,64,Male
163,7/17/2023,9230,Mountain Bike,Off Road,4021.76,2,yes,Houston,686,Debit Card,Store,37,Male
164,3/2/2021,2316,Electric Bike,Electric,3982.45,2,no ,Houston,607,Apple Pay,Online,61,Female
165,2/29/2024,1282,Folding Bike,Road,984.65,5,yes,Chicago,344,PayPal,Online,69,Female
166,10/9/2023,6152,Electric Bike,Electric,514.13,4,yes,Houston,895,Credit Card,Online,62,Female
167,4/27/2023,1105,Electric Bike,Electric,4012.24,4,yes,Houston,569,Credit Card,Online,20,Male
168,7/31/2023,5200,Hybrid Bike,Hybrid,677.51,3,no,Chicago,147,Google Pay,Online,28,Female
169,1/15/2021,3917,Cruiser,Off Road,1419.26,3,yes,Houston,772,Debit Card,Store,48,Female
170,12/3/2020,1072,Hybrid Bike,Hybrid,1139.47,2,yes,Los Angeles,561,Apple Pay,Online,30,Female
171,4/2/2023,8836,BMX,Off Road,4691.31,1,yes,Los Angeles,936,Credit Card,Online,47,Male
172,7/21/2022,8047,BMX,Off Road,1383.75,3,yes,Los Angeles,622,PayPal,Online,53,Female
173,12/25/2021,4943,Hybrid Bike,Hybrid,2950.48,2,no,Los Angeles,330,Cash,Store,26,Female
174,12/13/2023,2059,Hybrid Bike,Hybrid,2213.13,1,no,Los Angeles,420,Credit Card,Online,55,Female
175,8/8/2022,5856,Hybrid Bike,Hybrid,2991.29,4,yes,New York,348,Debit Card,Store,32,Female
176,8/29/2020,2258,Electric Bike,Electric,4856.07,4,no,Houston,886,Credit Card,Online,70,Male
177,4/18/2020,8102,Electric Bike,Electric,4950.14,3,no,San Antonio,866,Debit Card,Store,21,Female
178,10/18/2020,8963,Cruiser,Off Road,2053.54,2,yes,San Antonio,715,Cash,Store,50,Male
179,1/5/2024,7085,Cruiser,Off Road,3546.33,3,yes,New York,768,PayPal,Online,63,Female
180,12/3/2023,3350,BMX,Off Road,759.62,1,no ,Chicago,115,Google Pay,Online,59,Female
181,9/2/2022,9205,BMX,Off Road,1122.09,5,yes,Phoenix,369,Credit Card,Online,23,Male
182,5/23/2022,6859,Road Bike,Road,239.61,4,yes,New York,919,PayPal,Online,67,Male
183,11/12/2022,2350,Folding Bike,Road,1100.52,1,yes,Chicago,284,Apple Pay,Online,34,Female
184,3/20/2021,1970,BMX,Off Road,2147.41,4,no,Houston,710,Cash,Store,26,Male
185,11/4/2023,2723,Electric Bike,Electric,378.57,5,yes,Houston,563,Credit Card,Online,53,Male
186,1/1/2023,8551,Folding Bike,Road,3280.72,5,yes,Phoenix,617,Cash,Store,69,Female
187,4/21/2021,5718,Mountain Bike,Off Road,3544.5,4,yes,Houston,210,Debit Card,Store,20,Male
188,7/26/2024,4935,Cruiser,Off Road,469.95,3,yes,Chicago,149,Apple Pay,Online,19,Female
189,7/27/2020,9907,Electric Bike,Electric,1179.72,2,no,Houston,204,Debit Card,Store,52,Female
190,1/5/2023,1167,BMX,Off Road,3415.6,4,no,San Antonio,299,Credit Card,Online,60,Male
191,9/12/2020,1401,Road Bike,Road,1938.62,2,yes,Chicago,907,Cash,Store,27,Male
192,6/12/2023,8310,Mountain Bike,Off Road,567.81,2,no,Chicago,401,Cash,Store,68,Male
193,4/17/2023,8290,Electric Bike,Electric,1086.97,2,no,San Antonio,363,Cash,Store,63,Female
194,11/6/2021,9046,Folding Bike,Road,2652.05,5,yes,Chicago,515,Debit Card,Store,55,Male
195,11/3/2020,3611,Electric Bike,Electric,4439.55,1,yes,Chicago,731,PayPal,Online,27,Female
196,12/3/2023,7646,Hybrid Bike,Hybrid,2095.06,3,no ,Philadelphia,583,Cash,Store,22,Female
197,10/20/2022,7991,Electric Bike,Electric,4153.72,5,yes,San Antonio,614,Debit Card,Store,22,Female
198,9/29/2020,4283,Hybrid Bike,Hybrid,4225.44,2,yes,Phoenix,118,Credit Card,Online,62,Female
199,10/30/2020,1606,Folding Bike,Road,2034.75,4,yes,Los Angeles,780,Cash,Store,53,Male
200,8/31/2022,5333,Mountain Bike,Off Road,2101.32,5,no,Philadelphia,248,Debit Card,Store,46,Male
201,8/15/2020,5502,Mountain Bike,Off Road,1182.71,5,yes,San Antonio,873,Debit Card,Store,45,Female
202,1/28/2022,5956,Folding Bike,Road,2371.66,1,yes,Chicago,261,PayPal,Online,18,Male
203,6/23/2023,4313,Cruiser,Off Road,4469.86,2,yes,Philadelphia,480,Apple Pay,Online,45,Male
204,2/15/2022,2195,BMX,Off Road,1083.25,3,yes,Los Angeles,414,Apple Pay,Online,39,Female
205,4/4/2024,9729,Road Bike,Road,3648.55,2,no,San Antonio,301,Apple Pay,Online,52,Female
206,4/22/2024,1335,Cruiser,Off Road,1162.88,5,no,Houston,630,Google Pay,Online,31,Male
207,3/17/2024,8636,BMX,Off Road,2400.08,3,yes,Houston,388,Google Pay,Online,65,Female
208,1/24/2022,4967,Electric Bike,Electric,368.38,3,no,San Antonio,263,Google Pay,Online,43,Male
209,5/15/2023,6740,BMX,Off Road,715.07,3,no,Chicago,869,Credit Card,Online,55,Female
210,2/12/2021,6102,Road Bike,Road,781.95,5,yes,New York,360,Credit Card,Online,26,Female
211,1/16/2020,1405,Electric Bike,Electric,2590.57,4,yes,Phoenix,323,Google Pay,Online,48,Female
212,12/25/2022,1429,Road Bike,Road,283.56,4,no ,Philadelphia,390,Credit Card,Online,70,Male
213,9/29/2022,3043,Hybrid Bike,Hybrid,1640.83,5,yes,Phoenix,869,Cash,Store,70,Male
214,7/13/2021,9930,Cruiser,Off Road,410.52,2,yes,San Antonio,743,Credit Card,Online,48,Male
215,4/25/2021,5266,Road Bike,Road,3662.45,5,yes,San Antonio,345,PayPal,Online,24,Male
216,5/4/2024,2000,Mountain Bike,Off Road,3804.66,5,no,Chicago,325,Google Pay,Online,41,Male
217,11/19/2021,1153,Mountain Bike,Off Road,3874.73,5,yes,Houston,264,Debit Card,Store,45,Male
218,9/9/2022,8161,Road Bike,Road,3008.8,2,yes,Houston,467,Google Pay,Online,63,Male
219,10/27/2021,8421,BMX,Off Road,1094.33,5,yes,San Antonio,220,Google Pay,Online,51,Female
220,5/4/2022,5408,Cruiser,Off Road,4865.96,1,yes,San Antonio,902,Google Pay,Online,39,Female
221,6/12/2020,9977,BMX,Off Road,1610.41,2,no,Phoenix,840,Apple Pay,Online,63,Male
222,1/8/2024,3177,BMX,Off Road,4196.42,4,no,San Antonio,640,Cash,Store,59,Female
223,6/27/2020,4298,Folding Bike,Road,523.58,5,yes,Los Angeles,895,Debit Card,Store,69,Male
224,6/13/2021,8501,Road Bike,Road,755.12,2,no,San Antonio,824,Apple Pay,Online,44,Male
225,3/2/2020,9407,BMX,Off Road,1125.94,5,no,Phoenix,635,Debit Card,Store,46,Female
226,7/11/2022,7713,Electric Bike,Electric,1625.12,1,yes,Phoenix,983,Apple Pay,Online,19,Male
227,9/5/2023,6823,Mountain Bike,Off Road,2295.95,1,yes,New York,357,Credit Card,Online,30,Female
228,5/5/2024,4181,Cruiser,Off Road,4792.01,1,no ,Philadelphia,946,Debit Card,Store,63,Male
229,8/8/2022,2388,Cruiser,Off Road,3953.24,5,yes,Los Angeles,362,Cash,Store,31,Male
230,11/25/2021,8293,Folding Bike,Road,2512.09,2,yes,Phoenix,712,Debit Card,Store,53,Male
231,7/5/2022,2639,Road Bike,Road,319.66,3,yes,Houston,722,Google Pay,Online,37,Male
232,2/18/2023,8166,Hybrid Bike,Hybrid,2448.23,2,no,Houston,194,Credit Card,Online,23,Female
233,5/19/2020,2217,BMX,Off Road,2811.37,1,yes,New York,439,Apple Pay,Online,54,Female
234,7/2/2021,9941,Cruiser,Off Road,3040.66,2,yes,Chicago,135,Cash,Store,51,Male
235,7/2/2021,5565,BMX,Off Road,2452.92,2,yes,New York,559,Credit Card,Online,66,Male
236,4/30/2020,9498,BMX,Off Road,926.26,5,yes,Philadelphia,321,Debit Card,Store,28,Female
237,2/11/2022,4650,Hybrid Bike,Hybrid,648.11,4,no,Chicago,147,Debit Card,Store,37,Male
238,1/10/2023,2165,Folding Bike,Road,3604.49,4,no,Chicago,190,Google Pay,Online,31,Male
239,6/7/2024,6426,Folding Bike,Road,735.44,1,yes,Phoenix,723,Cash,Store,37,Female
240,6/9/2021,6026,Hybrid Bike,Hybrid,515.4,1,no,San Antonio,195,Credit Card,Online,25,Male
241,8/9/2020,1461,Cruiser,Off Road,3293.23,2,no,San Antonio,333,Cash,Store,46,Female
242,2/6/2022,8623,Road Bike,Road,3847.77,5,yes,Los Angeles,899,Credit Card,Online,49,Female
243,5/13/2024,5104,BMX,Off Road,1589.04,2,yes,New York,475,Google Pay,Online,21,Female
244,9/18/2022,9840,Mountain Bike,Off Road,4437.86,4,no ,Los Angeles,770,PayPal,Online,27,Female
245,11/22/2021,3052,BMX,Off Road,334.86,2,yes,Chicago,989,Credit Card,Online,23,Male
246,9/6/2024,9559,Cruiser,Off Road,450.5,2,yes,Chicago,737,Credit Card,Online,66,Female
247,5/16/2022,2397,Hybrid Bike,Hybrid,3817.79,4,yes,San Antonio,245,PayPal,Online,24,Male
248,6/25/2021,5287,BMX,Off Road,513.54,4,no,Philadelphia,503,Credit Card,Online,69,Male
249,1/8/2023,6089,Electric Bike,Electric,2484.86,4,yes,Houston,311,PayPal,Online,57,Female
250,12/31/2022,3357,BMX,Off Road,2578.17,4,yes,Phoenix,455,Cash,Store,50,Female
251,4/9/2024,1101,Electric Bike,Electric,3512.01,1,yes,Los Angeles,775,Apple Pay,Online,68,Female
252,7/13/2022,7191,Folding Bike,Road,3792.35,2,yes,Philadelphia,213,Cash,Store,52,Female
253,5/7/2022,5890,Electric Bike,Electric,4762.38,3,no,Chicago,629,Credit Card,Online,66,Female
254,5/10/2024,8036,Folding Bike,Road,478.7,1,no,Houston,710,Google Pay,Online,46,Male
255,5/19/2023,6117,Folding Bike,Road,1745.76,5,yes,San Antonio,913,Debit Card,Store,52,Male
256,7/15/2021,8501,BMX,Off Road,3866.22,5,no,Phoenix,888,Apple Pay,Online,57,Female
257,9/20/2020,2556,Electric Bike,Electric,4661.88,5,no,New York,821,Google Pay,Online,63,Female
